Locus	Name	Definition	MolType	MolStruct	Taxonomy	DB_origin	Length	prophage	nb_prot	GC	nb_PhROGs	nb_Sing	nb_Paralog	Host name	Superkingdom	phylum	class	order	family	genus	species	Full taxo	Full taxo with lvl
NC_015287	Synechococcus phage S-SSM7	Synechococcus phage S-SSM7, complete genome.	DNA	linear	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae	REFSEQ	232878	undef	319	39.11	190	89	40	Synechococcus sp.	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	Synechococcus sp.	1;131567;2;1117;1301283;1118;1129;1131	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus;Synechococcus sp.|species
NC_026927	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C90, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	REFSEQ	228143	undef	292	41.61	265	2	25	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019086	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803US17, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	226849	undef	288	41.54	267	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019150	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C22, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	226536	undef	289	41.61	265	0	24	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019045	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C6, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	226158	undef	287	41.63	263	1	23	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019159	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C34, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	225436	undef	286	41.58	265	0	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019146	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C16, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	225418	undef	285	41.6	262	2	21	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019053	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C80, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	225391	undef	286	41.63	263	0	23	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019145	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C15, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	225175	undef	288	41.61	266	0	22	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
KJ019037	Synechococcus phage ACG-2014f	Synechococcus phage ACG-2014f isolate Syn7803C58, complete genome.	DNA	circular	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus	BACT_NUCCORE_ENPLUS	225059	undef	282	41.59	259	0	23	Synechococcus	Bacteria	Cyanobacteria	unknown	Chroococcales	unknown	Synechococcus	unknown	1;131567;2;1117;1301283;1118;1129	;root|no rank;cellular organisms|no rank;Bacteria|superkingdom;Cyanobacteria|phylum;Oscillatoriophycideae|subclass;Chroococcales|order;Synechococcus|genus
